연도,날짜,팀,G,투구수,IP,타자수,피안타,피홈런,볼넷,삼진,실점,자책,lgIP,lgERA,fip_const,home_stadium,FinalPF,ERA,RA9,WHIP,K/9,BB/9,HR/9,K%,BB%,FIP,ERA+,ERA-,IP_O
2026,2026-04-09,KIA,50.0,1591.0,86.1,394.0,80.0,9.0,58.0,61.0,55.0,53.0,888.3333333333334,4.984615384615385,3.578611632270169,광주,0.9987402594586288,5.525096525096526,5.733590733590734,1.5984555984555986,6.359073359073359,6.046332046332046,0.9382239382239382,0.1548223350253807,0.1472081218274111,5.536140589799127,90.10419890916674,110.9826192459789,86.33333333333333
2026,2026-04-10,KIA,54.0,1719.0,95.1,429.0,87.0,11.0,60.0,68.0,60.0,58.0,980.3333333333334,4.966678000680041,3.5651139068344104,광주,0.9987402594586288,5.475524475524476,5.664335664335665,1.541958041958042,6.41958041958042,5.664335664335665,1.0384615384615383,0.1585081585081585,0.1398601398601398,5.526652368372872,90.59276730757108,110.38408801498522,95.33333333333331
2026,2026-04-11,KIA,58.0,1880.0,104.1,468.0,97.0,12.0,63.0,74.0,65.0,63.0,1069.3333333333333,4.864713216957607,3.6013092269326688,광주,0.9987402594586288,5.434504792332269,5.60702875399361,1.5335463258785944,6.383386581469649,5.434504792332269,1.0351437699680512,0.1581196581196581,0.1346153846153846,5.489488140670688,89.4026748798992,111.85347657028936,104.33333333333331
2026,2026-04-12,KIA,63.0,2030.0,113.1,506.0,105.0,12.0,67.0,85.0,68.0,65.0,1155.3333333333333,4.759665320253895,3.5600115406809003,광주,0.9987402594586288,5.161764705882353,5.4,1.5176470588235296,6.75,5.320588235294118,0.9529411764705884,0.1679841897233201,0.1324110671936759,5.210011540680901,92.0940258144466,108.58467649300351,113.33333333333331
2026,2026-03-28,KT,6.0,182.0,9.0,46.0,12.0,1.0,8.0,5.0,7.0,7.0,92.0,5.869565217391305,4.445652173913044,수원,1.0287682311922934,7.0,7.0,2.2222222222222223,5.0,8.0,1.0,0.108695652173913,0.1739130434782608,7.445652173913044,86.33462616235757,115.8283813170672,9.0
2026,2026-03-29,KT,12.0,371.0,18.0,88.0,22.0,1.0,14.0,11.0,12.0,12.0,180.0,6.0,4.011111111111111,수원,1.0287682311922934,6.0,6.0,2.0,5.5,7.0,0.5,0.125,0.1590909090909091,5.844444444444444,102.96203564547828,97.12317688077064,18.0
2026,2026-03-30,KT,12.0,371.0,18.0,88.0,22.0,1.0,14.0,11.0,12.0,12.0,180.0,6.0,4.011111111111111,수원,1.0287682311922934,6.0,6.0,2.0,5.5,7.0,0.5,0.125,0.1590909090909091,5.844444444444444,102.96203564547828,97.12317688077064,18.0
2026,2026-03-31,KT,18.0,538.0,27.0,130.0,31.0,2.0,20.0,22.0,16.0,14.0,272.0,5.525735294117647,3.871323529411765,수원,1.0287682311922934,4.666666666666667,5.333333333333333,1.8888888888888888,7.333333333333333,6.666666666666667,0.6666666666666666,0.1692307692307692,0.1538461538461538,5.42687908496732,121.91591878294685,82.02374308316138,27.0
2026,2026-04-01,KT,26.0,730.0,36.0,182.0,45.0,4.0,28.0,33.0,27.0,23.0,359.3333333333333,5.760667903525047,4.043599257884972,수원,1.0287682311922934,5.75,6.75,2.0277777777777777,8.25,7.0,1.0,0.1813186813186813,0.1538461538461538,5.988043702329417,103.1530598303493,96.94331914580626,36.0
2026,2026-04-02,KT,31.0,896.0,45.0,223.0,55.0,6.0,32.0,44.0,35.0,31.0,445.3333333333333,5.719311377245509,4.077844311377246,수원,1.0287682311922934,6.2,7.0,1.933333333333333,8.8,6.4,1.2,0.1973094170403587,0.1434977578475336,5.988955422488357,94.97934546637768,105.286048781416,45.0
2026,2026-04-03,KT,35.0,1025.0,54.0,260.0,62.0,6.0,35.0,48.0,37.0,33.0,534.3333333333334,5.592014971927635,3.980661260137242,수원,1.0287682311922934,5.5,6.166666666666667,1.7962962962962965,8.0,5.833333333333333,1.0,0.1846153846153846,0.1346153846153846,5.591772371248354,104.68458997630204,95.52504339238229,54.0
2026,2026-04-04,KT,39.0,1161.0,63.0,302.0,76.0,8.0,36.0,57.0,45.0,41.0,624.3333333333334,5.477843032568073,3.8873465029364658,수원,1.0287682311922934,5.857142857142857,6.428571428571429,1.7777777777777777,8.142857142857142,5.142857142857143,1.1428571428571428,0.1887417218543046,0.119205298013245,5.442902058492021,96.29436797700636,103.84823339188276,63.0
2026,2026-04-05,KT,43.0,1295.0,72.0,336.0,82.0,8.0,39.0,61.0,45.0,41.0,711.3333333333334,5.200093720712277,3.7085285848172447,수원,1.0287682311922934,5.125,5.625,1.6805555555555556,7.625,4.875,1.0,0.181547619047619,0.1160714285714285,5.083528584817245,104.4706800062059,95.720636636097,72.0
2026,2026-04-06,KT,43.0,1295.0,72.0,336.0,82.0,8.0,39.0,61.0,45.0,41.0,711.3333333333334,5.200093720712277,3.7085285848172447,수원,1.0287682311922934,5.125,5.625,1.6805555555555556,7.625,4.875,1.0,0.181547619047619,0.1160714285714285,5.083528584817245,104.4706800062059,95.720636636097,72.0
2026,2026-04-07,KT,48.0,1457.0,81.0,378.0,93.0,8.0,43.0,74.0,48.0,44.0,801.3333333333334,5.031613976705491,3.697587354409318,수원,1.0287682311922934,4.888888888888889,5.333333333333333,1.6790123456790125,8.222222222222221,4.777777777777778,0.8888888888888888,0.1957671957671957,0.1137566137566137,4.7469700704587,105.96788542305764,94.36821316266531,81.0
2026,2026-04-08,KT,52.0,1600.0,89.0,417.0,106.0,9.0,46.0,81.0,54.0,48.0,888.3333333333334,4.984615384615385,3.578611632270169,수원,1.0287682311922934,4.853932584269663,5.46067415730337,1.7078651685393258,8.191011235955056,4.651685393258427,0.9101123595505618,0.1942446043165467,0.1103117505995203,4.623555452494888,105.73409045131808,94.57687636329727,89.0
2026,2026-04-09,KT,52.0,1600.0,89.0,417.0,106.0,9.0,46.0,81.0,54.0,48.0,888.3333333333334,4.984615384615385,3.578611632270169,수원,1.0287682311922934,4.853932584269663,5.46067415730337,1.7078651685393258,8.191011235955056,4.651685393258427,0.9101123595505618,0.1942446043165467,0.1103117505995203,4.623555452494888,105.73409045131808,94.57687636329727,89.0
2026,2026-04-10,KT,59.0,1777.0,100.0,465.0,117.0,9.0,51.0,94.0,62.0,55.0,980.3333333333334,4.966678000680041,3.5651139068344104,수원,1.0287682311922934,4.95,5.58,1.68,8.46,4.59,0.81,0.2021505376344086,0.1096774193548387,4.385113906834411,103.30894491830934,96.79703928742488,100.0
2026,2026-04-11,KT,62.0,1906.0,109.0,501.0,125.0,9.0,53.0,103.0,66.0,59.0,1069.3333333333333,4.864713216957607,3.6013092269326688,수원,1.0287682311922934,4.871559633027523,5.4495412844036695,1.6330275229357798,8.504587155963304,4.376146788990826,0.7431192660550459,0.2055888223552894,0.1057884231536926,4.243511061795054,102.81733436118004,97.25986442005664,109.0
2026,2026-04-12,KT,67.0,2058.0,118.0,537.0,131.0,9.0,56.0,112.0,67.0,60.0,1155.3333333333333,4.759665320253895,3.5600115406809003,수원,1.0287682311922934,4.576271186440678,5.110169491525424,1.5847457627118644,8.542372881355933,4.271186440677966,0.6864406779661016,0.2085661080074488,0.1042830540037244,4.076960693223273,107.08824070928584,93.38093458036316,118.0
2026,2026-03-28,LG,8.0,183.0,9.0,49.0,18.0,1.0,6.0,5.0,11.0,11.0,92.0,5.869565217391305,4.445652173913044,잠실,0.9512583942824044,11.0,11.0,2.6666666666666665,5.0,6.0,1.0,0.1020408163265306,0.1224489795918367,6.778985507246377,50.8797243320535,196.54194536781603,9.0
2026,2026-03-29,LG,13.0,346.0,18.0,89.0,29.0,2.0,12.0,7.0,17.0,17.0,180.0,6.0,4.011111111111111,잠실,0.9512583942824044,8.5,8.5,2.2777777777777777,3.5,6.0,1.0,0.0786516853932584,0.1348314606741573,6.677777777777777,67.3075568941675,148.57172747665936,18.0
2026,2026-03-30,LG,13.0,346.0,18.0,89.0,29.0,2.0,12.0,7.0,17.0,17.0,180.0,6.0,4.011111111111111,잠실,0.9512583942824044,8.5,8.5,2.2777777777777777,3.5,6.0,1.0,0.0786516853932584,0.1348314606741573,6.677777777777777,67.3075568941675,148.57172747665936,18.0
