Date,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,gameId
2026.04.02,18:30,KT,13.0,8.0,한화,대전,20260402KTHH0,20260402KTHH0
2026.04.03,18:30,한화,11.0,6.0,두산,잠실,20260403HHOB0,20260403HHOB0
2026.04.03,18:30,SSG,17.0,2.0,롯데,사직,20260403SKLT0,20260403SKLT0
2026.04.03,18:30,삼성,2.0,1.0,KT,수원,20260403SSKT0,20260403SSKT0
2026.04.03,18:30,NC,5.0,2.0,KIA,광주,20260403NCHT0,20260403NCHT0
2026.04.03,18:30,LG,2.0,5.0,키움,고척,20260403LGWO0,20260403LGWO0
2026.04.04,14:00,한화,9.0,3.0,두산,잠실,20260404HHOB0,20260404HHOB0
2026.04.04,17:00,SSG,7.0,6.0,롯데,사직,20260404SKLT0,20260404SKLT0
2026.04.04,17:00,삼성,8.0,6.0,KT,수원,20260404SSKT0,20260404SSKT0
2026.04.04,17:00,NC,6.0,0.0,KIA,광주,20260404NCHT0,20260404NCHT0
2026.04.04,17:00,LG,6.0,4.0,키움,고척,20260404LGWO0,20260404LGWO0
2026.04.05,14:00,한화,0.0,8.0,두산,잠실,20260405HHOB0,20260405HHOB0
2026.04.05,14:00,SSG,4.0,3.0,롯데,사직,20260405SKLT0,20260405SKLT0
2026.04.05,14:00,삼성,0.0,2.0,KT,수원,20260405SSKT0,20260405SSKT0
2026.04.05,14:00,NC,0.0,3.0,KIA,광주,20260405NCHT0,20260405NCHT0
2026.04.05,14:00,LG,6.0,5.0,키움,고척,20260405LGWO0,20260405LGWO0
2026.04.07,18:30,키움,5.0,2.0,두산,잠실,20260407WOOB0,20260407WOOB0
2026.04.07,18:30,한화,6.0,2.0,SSG,문학,20260407HHSK0,20260407HHSK0
2026.04.07,18:30,KT,7.0,3.0,롯데,사직,20260407KTLT0,20260407KTLT0
2026.04.07,18:30,LG,2.0,0.0,NC,창원,20260407LGNC0,20260407LGNC0
2026.04.07,18:30,삼성,10.0,3.0,KIA,광주,20260407SSHT0,20260407SSHT0
2026.04.08,18:30,키움,3.0,7.0,두산,잠실,20260408WOOB0,20260408WOOB0
2026.04.08,18:30,한화,4.0,3.0,SSG,문학,20260408HHSK0,20260408HHSK0
2026.04.08,18:30,KT,1.0,6.0,롯데,사직,20260408KTLT0,20260408KTLT0
2026.04.08,18:30,LG,5.0,4.0,NC,창원,20260408LGNC0,20260408LGNC0
2026.04.08,18:30,삼성,5.0,15.0,KIA,광주,20260408SSHT0,20260408SSHT0
2026.04.10,18:30,SSG,2.0,10.0,LG,잠실,20260410SKLG0,20260410SKLG0
2026.04.10,18:30,NC,5.0,8.0,삼성,대구,20260410NCSS0,20260410NCSS0
2026.04.10,18:30,두산,8.0,7.0,KT,수원,20260410OBKT0,20260410OBKT0
2026.04.10,18:30,롯데,3.0,1.0,키움,고척,20260410LTWO0,20260410LTWO0
2026.04.10,18:30,KIA,6.0,5.0,한화,대전,20260410HTHH0,20260410HTHH0
2026.04.11,14:00,KIA,6.0,5.0,한화,대전,20260411HTHH0,20260411HTHH0
2026.04.11,17:00,SSG,3.0,4.0,LG,잠실,20260411SKLG0,20260411SKLG0
2026.04.11,17:00,NC,4.0,5.0,삼성,대구,20260411NCSS0,20260411NCSS0
2026.04.11,17:00,두산,4.0,6.0,KT,수원,20260411OBKT0,20260411OBKT0
2026.04.11,17:00,롯데,3.0,1.0,키움,고척,20260411LTWO0,20260411LTWO0
2026.04.12,14:00,SSG,1.0,9.0,LG,잠실,20260412SKLG0,20260412SKLG0
2026.04.12,14:00,NC,3.0,9.0,삼성,대구,20260412NCSS0,20260412NCSS0
2026.04.12,14:00,두산,1.0,6.0,KT,수원,20260412OBKT0,20260412OBKT0
2026.04.12,14:00,롯데,0.0,2.0,키움,고척,20260412LTWO0,20260412LTWO0
2026.04.12,14:00,KIA,9.0,3.0,한화,대전,20260412HTHH0,20260412HTHH0
2026.04.14,18:30,롯데,,,LG,잠실,20260414LTLG0,20260414LTLG0
2026.04.14,18:30,두산,,,SSG,문학,20260414OBSK0,20260414OBSK0
2026.04.14,18:30,KT,,,NC,창원,20260414KTNC0,20260414KTNC0
2026.04.14,18:30,키움,,,KIA,광주,20260414WOHT0,20260414WOHT0
2026.04.14,18:30,삼성,,,한화,대전,20260414SSHH0,20260414SSHH0
2026.04.15,18:30,롯데,,,LG,잠실,20260415LTLG0,20260415LTLG0
2026.04.15,18:30,두산,,,SSG,문학,20260415OBSK0,20260415OBSK0
2026.04.15,18:30,KT,,,NC,창원,20260415KTNC0,20260415KTNC0
2026.04.15,18:30,키움,,,KIA,광주,20260415WOHT0,20260415WOHT0
2026.04.15,18:30,삼성,,,한화,대전,20260415SSHH0,20260415SSHH0
2026.04.16,18:30,롯데,,,LG,잠실,20260416LTLG0,20260416LTLG0
2026.04.16,18:30,두산,,,SSG,문학,20260416OBSK0,20260416OBSK0
2026.04.16,18:30,KT,,,NC,창원,20260416KTNC0,20260416KTNC0
2026.04.16,18:30,키움,,,KIA,광주,20260416WOHT0,20260416WOHT0
2026.04.16,18:30,삼성,,,한화,대전,20260416SSHH0,20260416SSHH0
2026.04.17,18:30,KIA,,,두산,잠실,20260417HTOB0,20260417HTOB0
2026.04.17,18:30,한화,,,롯데,사직,20260417HHLT0,20260417HHLT0
2026.04.17,18:30,LG,,,삼성,대구,20260417LGSS0,20260417LGSS0
2026.04.17,18:30,SSG,,,NC,창원,20260417SKNC0,20260417SKNC0
2026.04.17,18:30,키움,,,KT,수원,20260417WOKT0,20260417WOKT0
2026.04.18,14:00,LG,,,삼성,대구,20260418LGSS0,20260418LGSS0
2026.04.18,17:00,KIA,,,두산,잠실,20260418HTOB0,20260418HTOB0
2026.04.18,17:00,한화,,,롯데,사직,20260418HHLT0,20260418HHLT0
2026.04.18,17:00,SSG,,,NC,창원,20260418SKNC0,20260418SKNC0
2026.04.18,17:00,키움,,,KT,수원,20260418WOKT0,20260418WOKT0
2026.04.19,14:00,KIA,,,두산,잠실,20260419HTOB0,20260419HTOB0
2026.04.19,14:00,한화,,,롯데,사직,20260419HHLT0,20260419HHLT0
2026.04.19,14:00,LG,,,삼성,대구,20260419LGSS0,20260419LGSS0
2026.04.19,14:00,SSG,,,NC,창원,20260419SKNC0,20260419SKNC0
2026.04.19,17:00,키움,,,KT,수원,20260419WOKT0,20260419WOKT0
2026.04.21,18:30,한화,,,LG,잠실,20260421HHLG0,20260421HHLG0
2026.04.21,18:30,두산,,,롯데,사직,20260421OBLT0,20260421OBLT0
2026.04.21,18:30,SSG,,,삼성,대구,20260421SKSS0,20260421SKSS0
2026.04.21,18:30,KIA,,,KT,수원,20260421HTKT0,20260421HTKT0
2026.04.21,18:30,NC,,,키움,고척,20260421NCWO0,20260421NCWO0
2026.04.22,18:30,한화,,,LG,잠실,20260422HHLG0,20260422HHLG0
2026.04.22,18:30,두산,,,롯데,사직,20260422OBLT0,20260422OBLT0
2026.04.22,18:30,SSG,,,삼성,대구,20260422SKSS0,20260422SKSS0
2026.04.22,18:30,KIA,,,KT,수원,20260422HTKT0,20260422HTKT0
2026.04.22,18:30,NC,,,키움,고척,20260422NCWO0,20260422NCWO0
2026.04.23,18:30,한화,,,LG,잠실,20260423HHLG0,20260423HHLG0
2026.04.23,18:30,두산,,,롯데,사직,20260423OBLT0,20260423OBLT0
2026.04.23,18:30,SSG,,,삼성,대구,20260423SKSS0,20260423SKSS0
2026.04.23,18:30,KIA,,,KT,수원,20260423HTKT0,20260423HTKT0
2026.04.23,18:30,NC,,,키움,고척,20260423NCWO0,20260423NCWO0
2026.04.24,18:30,LG,,,두산,잠실,20260424LGOB0,20260424LGOB0
2026.04.24,18:30,KT,,,SSG,문학,20260424KTSK0,20260424KTSK0
2026.04.24,18:30,롯데,,,KIA,광주,20260424LTHT0,20260424LTHT0
2026.04.24,18:30,삼성,,,키움,고척,20260424SSWO0,20260424SSWO0
2026.04.24,18:30,NC,,,한화,대전,20260424NCHH0,20260424NCHH0
2026.04.25,14:00,LG,,,두산,잠실,20260425LGOB0,20260425LGOB0
2026.04.25,17:00,KT,,,SSG,문학,20260425KTSK0,20260425KTSK0
2026.04.25,17:00,롯데,,,KIA,광주,20260425LTHT0,20260425LTHT0
2026.04.25,17:00,삼성,,,키움,고척,20260425SSWO0,20260425SSWO0
2026.04.25,17:00,NC,,,한화,대전,20260425NCHH0,20260425NCHH0
2026.04.26,14:00,LG,,,두산,잠실,20260426LGOB0,20260426LGOB0
2026.04.26,14:00,KT,,,SSG,문학,20260426KTSK0,20260426KTSK0
2026.04.26,14:00,롯데,,,KIA,광주,20260426LTHT0,20260426LTHT0
2026.04.26,14:00,삼성,,,키움,고척,20260426SSWO0,20260426SSWO0
2026.04.26,14:00,NC,,,한화,대전,20260426NCHH0,20260426NCHH0
2026.04.28,18:30,삼성,,,두산,잠실,20260428SSOB0,20260428SSOB0
2026.04.28,18:30,키움,,,롯데,사직,20260428WOLT0,20260428WOLT0
2026.04.28,18:30,KIA,,,NC,창원,20260428HTNC0,20260428HTNC0
2026.04.28,18:30,LG,,,KT,수원,20260428LGKT0,20260428LGKT0
2026.04.28,18:30,SSG,,,한화,대전,20260428SKHH0,20260428SKHH0
2026.04.29,18:30,삼성,,,두산,잠실,20260429SSOB0,20260429SSOB0
2026.04.29,18:30,키움,,,롯데,사직,20260429WOLT0,20260429WOLT0
2026.04.29,18:30,KIA,,,NC,창원,20260429HTNC0,20260429HTNC0
2026.04.29,18:30,LG,,,KT,수원,20260429LGKT0,20260429LGKT0
2026.04.29,18:30,SSG,,,한화,대전,20260429SKHH0,20260429SKHH0
2026.04.30,18:30,삼성,,,두산,잠실,20260430SSOB0,20260430SSOB0
2026.04.30,18:30,키움,,,롯데,사직,20260430WOLT0,20260430WOLT0
2026.04.30,18:30,KIA,,,NC,창원,20260430HTNC0,20260430HTNC0
2026.04.30,18:30,LG,,,KT,수원,20260430LGKT0,20260430LGKT0
2026.04.30,18:30,SSG,,,한화,대전,20260430SKHH0,20260430SKHH0
2026.05.01,17:00,NC,,,LG,잠실,20260501NCLG0,20260501NCLG0
2026.05.01,17:00,롯데,,,SSG,문학,20260501LTSK0,20260501LTSK0
2026.05.01,17:00,한화,,,삼성,대구,20260501HHSS0,20260501HHSS0
2026.05.01,17:00,KT,,,KIA,광주,20260501KTHT0,20260501KTHT0
