날짜,타점,득점,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희번,희비,병살타,타격방해,고의사구,팀,연도,home_stadium,FinalPF,단타,TB,Outs,타율,출루율,장타율,OPS,순출루율,순장타율,K%,BB%,BB/K,BABIP,SecA,PA/HR,AB/HR,GPA,RC,RC/27,XR,TAVG,wOBA,wRAA,wRC+
2026-04-06,40.0,45.0,318.0,265.0,66.0,43.0,6.0,69.0,14.0,0.0,8.0,4.0,0.0,4.0,0.0,1.0,NC,2026,창원,1.0100284809306723,44.0,104.0,207.0,0.2490566037735849,0.3662420382165605,0.3924528301886792,0.7586948684052397,0.1171854344429755,0.1433962264150943,0.2169811320754717,0.1352201257861635,0.6231884057971014,0.3085106382978723,0.3056603773584905,39.75,33.125,0.262922124744622,30.321525885558582,3.954981637246772,63.78799999999999,0.7391304347826086,0.360635767671464,-0.7399520358059959,97.31002535581254
2026-04-07,40.0,45.0,357.0,301.0,75.0,46.0,6.0,78.0,14.0,0.0,8.0,4.0,0.0,4.0,0.0,1.0,NC,2026,창원,1.0100284809306723,53.0,113.0,234.0,0.2491694352159468,0.3597733711048159,0.3754152823920266,0.7351886534968425,0.110603935888869,0.1262458471760797,0.2184873949579832,0.1288515406162464,0.5897435897435898,0.3116279069767442,0.2790697674418604,44.625,37.625,0.2557518375951738,32.877750611246945,3.793586608990032,70.04599999999998,0.7051282051282052,0.3529724403231846,-1.85198308792238,95.11646829551896
2026-04-08,44.0,49.0,395.0,335.0,82.0,50.0,6.0,88.0,15.0,0.0,10.0,4.0,0.0,4.0,0.0,1.0,NC,2026,창원,1.0100284809306723,57.0,127.0,261.0,0.244776119402985,0.3529411764705882,0.3791044776119402,0.7320456540825285,0.1081650570676031,0.1343283582089552,0.2227848101265822,0.1265822784810126,0.5681818181818182,0.3037974683544304,0.2835820895522388,39.5,33.5,0.2535996488147498,36.60753880266076,3.786986772689044,77.556,0.7011494252873564,0.3491286326708174,-3.591373938848057,92.184772823377
2026-04-09,44.0,49.0,395.0,335.0,82.0,50.0,6.0,88.0,15.0,0.0,10.0,4.0,0.0,4.0,0.0,1.0,NC,2026,창원,1.0100284809306723,57.0,127.0,261.0,0.244776119402985,0.3529411764705882,0.3791044776119402,0.7320456540825285,0.1081650570676031,0.1343283582089552,0.2227848101265822,0.1265822784810126,0.5681818181818182,0.3037974683544304,0.2835820895522388,39.5,33.5,0.2535996488147498,36.60753880266076,3.786986772689044,77.556,0.7011494252873564,0.3491286326708174,-3.591373938848057,92.184772823377
2026-04-10,48.0,54.0,440.0,373.0,93.0,53.0,9.0,96.0,15.0,0.0,12.0,5.0,0.0,5.0,0.0,1.0,NC,2026,창원,1.0100284809306723,66.0,144.0,290.0,0.2493297587131367,0.3563218390804598,0.3860589812332439,0.7423808203137037,0.106992080367323,0.1367292225201072,0.2181818181818181,0.1204545454545454,0.5520833333333334,0.3056603773584905,0.2788203753351206,36.66666666666666,31.08333333333333,0.2568595728945179,41.59362549800797,3.872509960159362,87.572,0.7103448275862069,0.352605303436112,-2.256416583832022,95.15483986100844
2026-04-11,51.0,58.0,480.0,405.0,100.0,57.0,13.0,102.0,19.0,0.0,12.0,5.0,0.0,5.0,0.0,1.0,NC,2026,창원,1.0100284809306723,69.0,155.0,315.0,0.2469135802469135,0.3578947368421052,0.382716049382716,0.7406107862248212,0.1109811565951917,0.1358024691358024,0.2125,0.11875,0.5588235294117647,0.3024054982817869,0.2765432098765432,40.0,33.75,0.2567316439246264,45.09090909090909,3.864935064935065,95.79400000000004,0.7142857142857143,0.3534121095340169,-1.0865956369100027,97.27458655805523
2026-04-12,53.0,61.0,519.0,439.0,106.0,61.0,14.0,109.0,20.0,0.0,14.0,5.0,0.0,6.0,0.0,1.0,NC,2026,창원,1.0100284809306723,72.0,168.0,344.0,0.2414578587699316,0.3521400778210117,0.3826879271070615,0.7348280049280732,0.11068221905108,0.1412300683371298,0.210019267822736,0.117533718689788,0.5596330275229358,0.2911392405063291,0.2801822323462414,37.07142857142857,31.357142857142858,0.2541350167962206,48.08080808080808,3.773784355179704,103.428,0.7063953488372093,0.3499873602500048,-1.5993809345243444,96.62792928115245
2026-03-28,5.0,7.0,39.0,33.0,8.0,5.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSG,2026,문학,1.027807913649001,7.0,9.0,25.0,0.2424242424242424,0.358974358974359,0.2727272727272727,0.6317016317016317,0.1165501165501165,0.0303030303030302,0.2051282051282051,0.1282051282051282,0.625,0.32,0.1818181818181818,0.0,0.0,0.2297202797202797,2.8,3.024,7.006,0.6,0.3331820912919354,-1.6092540017304775,69.54130943373941
2026-03-29,16.0,18.0,79.0,64.0,16.0,13.0,1.0,15.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,SSG,2026,문학,1.027807913649001,9.0,29.0,49.0,0.25,0.379746835443038,0.453125,0.832871835443038,0.129746835443038,0.203125,0.189873417721519,0.1645569620253164,0.8666666666666667,0.2765957446808511,0.40625,26.33333333333333,21.33333333333333,0.2841673259493671,9.043010752688172,4.982883475971033,18.33,0.8775510204081632,0.3814509090462144,0.4450610147719949,100.8464342374773
2026-03-30,16.0,18.0,79.0,64.0,16.0,13.0,1.0,15.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,SSG,2026,문학,1.027807913649001,9.0,29.0,49.0,0.25,0.379746835443038,0.453125,0.832871835443038,0.129746835443038,0.203125,0.189873417721519,0.1645569620253164,0.8666666666666667,0.2765957446808511,0.40625,26.33333333333333,21.33333333333333,0.2841673259493671,9.043010752688172,4.982883475971033,18.33,0.8775510204081632,0.3814509090462144,0.4450610147719949,100.8464342374773
2026-03-31,23.0,27.0,120.0,99.0,28.0,18.0,1.0,20.0,7.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,SSG,2026,문학,1.027807913649001,16.0,50.0,74.0,0.2828282828282828,0.3916666666666666,0.5050505050505051,0.8967171717171718,0.1088383838383838,0.2222222222222222,0.1666666666666666,0.15,0.9,0.3026315789473684,0.404040404040404,24.0,19.8,0.3025126262626262,15.827338129496402,5.774839587789228,29.7,0.9324324324324323,0.4049956874657918,3.962582980094692,119.76309288671972
2026-04-01,24.0,29.0,159.0,133.0,36.0,23.0,1.0,26.0,9.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,SSG,2026,문학,1.027807913649001,22.0,60.0,101.0,0.2706766917293233,0.3773584905660377,0.4511278195488721,0.8284863101149099,0.1066817988367144,0.1804511278195488,0.1635220125786163,0.1446540880503144,0.8846153846153846,0.2980769230769231,0.3533834586466165,31.8,26.6,0.282593275641935,18.36065573770492,4.908294108099335,36.682,0.8316831683168316,0.3808157606914038,1.2944489795918457,102.56958507963564
2026-04-02,35.0,40.0,198.0,167.0,48.0,27.0,1.0,30.0,11.0,0.0,7.0,1.0,2.0,3.0,0.0,0.0,SSG,2026,문학,1.027807913649001,30.0,80.0,125.0,0.2874251497005988,0.3857868020304568,0.4790419161676646,0.8648287181981216,0.098361652329858,0.1916167664670658,0.1515151515151515,0.1363636363636363,0.9,0.3106060606060606,0.3532934131736527,28.285714285714285,23.857142857142858,0.2933645399556217,24.778761061946906,5.352212389380531,47.260000000000005,0.864,0.3943440626206084,5.072903555680743,114.25042136250512
2026-04-03,51.0,57.0,254.0,209.0,66.0,39.0,2.0,33.0,18.0,0.0,10.0,1.0,3.0,5.0,0.0,0.0,SSG,2026,문학,1.027807913649001,38.0,114.0,152.0,0.3157894736842105,0.4229249011857707,0.5454545454545454,0.9683794466403162,0.1071354275015602,0.2296650717703349,0.1299212598425196,0.1535433070866141,1.181818181818182,0.3313609467455621,0.416267942583732,25.4,20.9,0.3266798418972332,37.87118644067797,6.727118644067797,66.26600000000002,1.019736842105263,0.4364694734069219,15.682915716086162,139.1542189470162
2026-04-04,58.0,64.0,300.0,249.0,80.0,44.0,2.0,41.0,21.0,0.0,10.0,2.0,3.0,5.0,0.0,0.0,SSG,2026,문학,1.027807913649001,49.0,131.0,179.0,0.321285140562249,0.4228187919463087,0.5261044176706827,0.9489232096169916,0.1015336513840597,0.2048192771084337,0.1366666666666666,0.1466666666666666,1.0731707317073171,0.3482587064676617,0.3815261044176707,30.0,24.9,0.3217945607935096,43.91907514450867,6.6246649659314745,76.502,0.988826815642458,0.4315029192642208,16.917315486312045,136.11560781275546
2026-04-05,62.0,68.0,343.0,281.0,87.0,53.0,4.0,47.0,22.0,0.0,10.0,2.0,3.0,5.0,0.0,1.0,SSG,2026,문학,1.027807913649001,55.0,139.0,204.0,0.3096085409252669,0.4222873900293255,0.494661921708185,0.9169493117375106,0.1126788491040586,0.1850533807829181,0.1370262390670553,0.1545189504373177,1.127659574468085,0.3392070484581498,0.3736654804270463,34.3,28.1,0.3136948059402427,46.565,6.163014705882352,84.99400000000001,0.9607843137254902,0.4227959190344588,17.635358131379622,134.49796144848597
2026-04-06,62.0,68.0,343.0,281.0,87.0,53.0,4.0,47.0,22.0,0.0,10.0,2.0,3.0,5.0,0.0,1.0,SSG,2026,문학,1.027807913649001,55.0,139.0,204.0,0.3096085409252669,0.4222873900293255,0.494661921708185,0.9169493117375106,0.1126788491040586,0.1850533807829181,0.1370262390670553,0.1545189504373177,1.127659574468085,0.3392070484581498,0.3736654804270463,34.3,28.1,0.3136948059402427,46.565,6.163014705882352,84.99400000000001,0.9607843137254902,0.4227959190344588,17.635358131379622,134.49796144848597
2026-04-07,64.0,70.0,377.0,311.0,91.0,57.0,4.0,61.0,24.0,0.0,11.0,2.0,3.0,5.0,0.0,1.0,SSG,2026,문학,1.027807913649001,56.0,148.0,230.0,0.292604501607717,0.4053333333333333,0.4758842443729904,0.8812175777063237,0.1127288317256162,0.1832797427652733,0.1618037135278514,0.1511936339522546,0.9344262295081968,0.3305785123966942,0.3665594855305466,34.27272727272727,28.27272727272728,0.3013710610932476,47.98173515981736,5.632638475282907,89.44200000000002,0.908695652173913,0.4093356771906818,15.946919863964691,128.8620080215857
