date,gameId,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,ELO_pre_away,ELO_pre_home,away_win_prob,home_win_prob,elo_post_away,elo_post_home,away_starter,home_starter,away_starter_rgs,home_starter_rgs,away_team_rgs,home_team_rgs,away_adj,home_adj,elo_match_away,elo_match_home
2026-04-08,20260408HHSK0,18:30,한화,4.0,3.0,SSG,문학,20260408HHSK0,1503.4019,1512.8561,0.4311,0.5689,1504.9332,1511.3248,문동주,최민준,50.2174,51.0,54.0089,51.2022,-15.5451,-0.8291,1487.8568,1536.027
2026-04-08,20260408KTLT0,18:30,KT,1.0,6.0,롯데,사직,20260408KTLT0,1515.913,1487.0481,0.6018,0.3982,1511.762,1491.1992,오원석,김진욱,55.728,37.2,51.2272,49.015,18.4532,-48.4415,1534.3662,1462.6066
2026-04-08,20260408LGNC0,18:30,LG,5.0,4.0,NC,창원,20260408LGNC0,1499.8541,1509.0117,0.4939,0.5061,1501.2167,1507.6492,웰스,신민혁,56.2,47.2429,50.8422,48.9311,21.9669,-6.9218,1521.821,1526.0899
2026-04-08,20260408SSHT0,18:30,삼성,5.0,15.0,KIA,광주,20260408SSHT0,1507.6379,1486.9801,0.4908,0.5092,1503.0907,1491.5273,이승현,김태형,48.7696,49.9,51.0372,51.4244,-9.2974,-6.2502,1498.3405,1504.7299
2026-04-08,20260408WOOB0,18:30,키움,3.0,7.0,두산,잠실,20260408WOOB0,1492.338,1484.959,0.3794,0.6206,1489.9645,1487.3325,정세영,최민석,31.4,52.0933,45.7728,49.6706,-58.9284,9.9334,1433.4096,1518.8924
2026-04-10,20260410HTHH0,18:30,KIA,6.0,5.0,한화,대전,20260410HTHH0,1491.5273,1504.9332,0.5359,0.4641,1492.7742,1503.6862,네일,에르난데스,60.897,49.2233,50.7196,54.2671,41.7277,-20.6795,1534.0753,1509.0712
2026-04-10,20260410LTWO0,18:30,롯데,3.0,1.0,키움,고척,20260410LTWO0,1491.1992,1489.9645,0.3872,0.6128,1493.8263,1487.3374,로드리게스,알칸타라,42.6633,55.5211,47.152,46.3982,-18.4035,37.4036,1473.1449,1552.9051
2026-04-10,20260410NCSS0,18:30,NC,5.0,8.0,삼성,대구,20260410NCSS0,1507.6492,1503.0907,0.4573,0.5427,1505.1821,1505.5578,구창모,후라도,57.9733,57.224,51.7249,48.3498,25.6186,36.3843,1534.3912,1564.1661
2026-04-10,20260410OBKT0,18:30,두산,8.0,7.0,KT,수원,20260410OBKT0,1487.3325,1511.762,0.4176,0.5824,1488.8895,1510.205,곽빈,사우어,46.2821,49.9433,50.3564,51.4818,-16.7048,-6.3076,1472.0967,1529.8587
2026-04-10,20260410SKLG0,18:30,SSG,2.0,10.0,LG,잠실,20260410SKLG0,1511.3248,1501.2167,0.5238,0.4762,1506.8565,1505.685,화이트,치리노스,52.98,47.9427,48.8418,51.0138,16.9667,-12.5916,1529.6437,1513.0662
